id,naslov,studio,zanri,dolzina,vir,tip,stevilo,ocena

369,Boogiepop wa Warawanai,Madhouse,"5,8,14,7,37,40",12,Light novel,TV,"107,137",7.16

888,Megami Kouhosei,Xebec,"1,24,18,38,29",12,Manga,TV,"20,200",6.38

351,Ojamajo Doremi Sharp,Toei Animation,"4,25",49,Original,TV,"17,722",7.37

606,Kazemakase Tsukikage Ran,Madhouse,"2,4,13,17,21",13,Original,TV,"14,355",7.12

1137,Mushrambo,Toei Animation,"2,8,10,24,27",32,Original,TV,"14,138",6.96

6560,Popee the Performer,-,"5,4",39,Original,TV,"8,042",7.20

783,Miami Guns,Group TAC,"4,9,39,27",13,Manga,TV,"5,588",6.47

1769,Oh! Super Milk-chan,Studio Pierrot,"1,4,24,20",12,Original,TV,"4,813",5.99

12361,Track City,SBS TV Production,"1,3",26,-,TV,"1,066",6.16

481,Yu☆Gi☆Oh! Duel Monsters,Gallop,"1,2,10,11,27",224,Manga,TV,"333,840",7.46

189,Love Hina,Xebec,"4,22,36,9,35,27",24,Manga,TV,"240,420",7.12

104,Ayashi no Ceres,Studio Pierrot,"2,4,8,14,22,37,40,25",24,Manga,TV,"56,130",7.21

129,Gensoumaden Saiyuuki,Studio Pierrot,"1,2,4,8,37,6,27",50,Manga,TV,"49,007",7.57

800,NieA Under 7,Triangle Staff,"4,24,36",13,Original,TV,"30,622",6.85

396,Seikai no Senki,Sunrise,"1,22,24,38,29",13,Light novel,TV,"30,106",7.70

233,Daa! Daa! Daa!,J.C.Staff,"4,24,25",78,Manga,TV,"21,932",7.65

561,Sakura Taisen,Madhouse,"2,24,18,27",25,Game,TV,"21,589",6.86

105,Boys Be...,Hal Film Maker,"4,22,36,27",13,Manga,TV,"21,051",6.43

127,Gate Keepers,Gonzo,"1,4,10,24,18,27",24,Game,TV,"20,247",6.94

13201,Monster Farm: Legend e no Michi,TMS Entertainment,"1,2,4,10",25,Game,TV,"14,628",6.74

2284,Transformers: Car Robots,Gallop,"2,4,24,18,27",39,-,TV,"4,310",6.54

332,Dokidoki♡Densetsu: Mahoujin Guruguru,Nippon Animation,"2,4,10,27",38,Manga,TV,"3,544",7.17

832,Ginsoukikou Ordian,Plum,"24,18",24,Original,TV,"2,577",5.69

2694,Hidamari no Ki,Madhouse,"1,8,13,21,42",25,Manga,TV,"2,533",6.93

12481,Gregory Horror Show: The Second Guest,Milky Cartoon,"4,14,7,37,6",25,Original,TV,"1,569",6.61

5475,Time Bokan 2000: Kaitou Kiramekiman,Tatsunoko Production,"1,2,4,24,18",26,-,TV,781,6.00

5088,Fabre-sensei wa Meitantei,E&amp;G Films,7,26,Book,TV,695,6.24

25063,Anime Roukyoku Kikou Shimizu no Jirochouden,-,"4,8,13",30,-,TV,261,N/A

318,Hand Maid May,Production Reed,"4,22,24,9,35",10,Original,TV,"27,113",6.71

4052,Medarot Damashii,Trans Arts,"1,2,24",39,Game,TV,"17,248",6.64

1450,Brigadoon: Marin to Melan,Sunrise,"2,4,8,24,18",26,Original,TV,"11,171",7.26

171,Strange Dawn,Hal Film Maker,"2,8,10",13,Original,TV,"4,584",6.33

48347,Taekwon-wang Gang Taepung,-,"30,17,23",26,Original,TV,79,N/A

249,InuYasha,Sunrise,"1,2,4,10,22,37,6,13,27",167,Manga,TV,"669,761",7.85

263,Hajime no Ippo,Madhouse,"4,8,30,27",75,Manga,TV,"444,046",8.74

1281,Gakkou no Kaidan,Studio Pierrot,"14,7,37",19,Original,TV,"151,547",7.71

243,Gravitation,Studio Deen,"28,4,22,19,25",13,Manga,TV,"108,427",6.97

180,Vandread,Gonzo,"1,24,9,18,29,27",13,Original,TV,"76,854",7.19

553,Yami no Matsuei,J.C.Staff,"28,4,8,10,14,32,25",13,Manga,TV,"50,545",7.05

285,Argento Soma,Sunrise,"1,2,8,24,18,38",25,Original,TV,"23,718",6.77

598,Jinzou Ningen Kikaider The Animation,Radix,"1,8,24,18,27",13,-,TV,"8,691",6.98

3369,Shoubushi Densetsu Tetsuya,Toei Animation,"11,13,27",20,Manga,TV,"8,087",7.53

1508,Sci-fi Harry,APPP,"8,14,24",20,Manga,TV,"7,813",6.19

1684,Dotto Koni-chan,Shaft,4,26,Original,TV,"3,381",7.28

2484,Gear Fighter Dendoh,Sunrise,"1,2,24,18,23,29",38,-,TV,"2,936",7.19

3935,Karakuri Kiden: Hiwou Senki,Bones,"1,2,13,18",26,Original,TV,"1,531",6.55

12483,Gregory Horror Show: The Last Train,Milky Cartoon,"4,14,7,37,6,32",26,Original,TV,"1,368",6.23

1975,Mutekiou Tri-Zenon,E&amp;G Films,"24,18",22,-,TV,"1,186",6.12

10623,Hayan Ma-eum Baeggu,-,2,13,-,TV,777,6.48

48904,Digital Tokoro-san,Polygon Pictures,4,245,Original,TV,60,N/A

287,Grappler Baki (TV),Group TAC,"1,30,17,27",24,Manga,TV,"92,072",7.44

812,Chikyuu Shoujo Arjuna,Satelight,"2,8,24",13,Original,TV,"27,831",6.81

764,Zoids Shinseiki/Zero,Xebec,"2,4,24,30,18,27",26,-,TV,"25,758",7.32

352,Motto! Ojamajo Doremi,Toei Animation,"4,10,25",50,Original,TV,"17,836",7.36

445,Tales of Eternia The Animation,Production I.G,"2,4,10,22",13,Game,TV,"15,792",6.20

1608,Salaryman Kintarou,JCF,"4,8,17,42",20,Manga,TV,"8,437",7.47

