id,zanr
369,5
369,8
369,14
369,7
369,37
369,40
888,1
888,24
888,18
888,38
888,29
351,4
351,25
606,2
606,4
606,13
606,17
606,21
1137,2
1137,8
1137,10
1137,24
1137,27
6560,5
6560,4
783,4
783,9
783,39
783,27
1769,1
1769,4
1769,24
1769,20
12361,1
12361,3
481,1
481,2
481,10
481,11
481,27
189,4
189,22
189,36
189,9
189,35
189,27
104,2
104,4
104,8
104,14
104,22
104,37
104,40
104,25
129,1
129,2
129,4
129,8
129,37
129,6
129,27
800,4
800,24
800,36
396,1
396,22
396,24
396,38
396,29
233,4
233,24
233,25
561,2
561,24
561,18
561,27
105,4
105,22
105,36
105,27
127,1
127,4
127,10
127,24
127,18
127,27
13201,1
13201,2
13201,4
13201,10
2284,2
2284,4
2284,24
2284,18
2284,27
332,2
332,4
332,10
332,27
832,24
832,18
2694,1
2694,8
2694,13
2694,21
2694,42
12481,4
12481,14
12481,7
12481,37
12481,6
5475,1
5475,2
5475,4
5475,24
5475,18
5088,7
25063,4
25063,8
25063,13
318,4
318,22
318,24
318,9
318,35
4052,1
4052,2
4052,24
1450,2
1450,4
1450,8
1450,24
1450,18
171,2
171,8
171,10
48347,30
48347,17
48347,23
249,1
249,2
249,4
249,10
249,22
249,37
249,6
249,13
249,27
263,4
263,8
263,30
263,27
1281,14
1281,7
1281,37
243,28
243,4
243,22
243,19
243,25
180,1
180,24
180,9
180,18
180,29
180,27
553,28
553,4
553,8
553,10
553,14
553,32
553,25
285,1
285,2
285,8
285,24
285,18
285,38
598,1
598,8
598,24
598,18
598,27
3369,11
3369,13
3369,27
1508,8
1508,14
1508,24
1684,4
2484,1
2484,2
2484,24
2484,18
2484,23
2484,29
3935,1
3935,2
3935,13
3935,18
12483,4
12483,14
12483,7
12483,37
12483,6
12483,32
1975,24
1975,18
10623,2
48904,4
287,1
287,30
287,17
287,27
812,2
812,8
812,24
764,2
764,4
764,24
764,30
764,18
764,27
352,4
352,10
352,25
445,2
445,4
445,10
445,22
1608,4
1608,8
1608,17
1608,42
1465,1
1465,24
1465,18
1465,23
1465,42
1962,1
1962,4
1962,8
1962,24
34490,4
874,2
874,4
874,8
874,10
874,27
272,1
272,8
272,7
100,4
100,8
100,10
100,22
100,31
100,25
52,4
52,8
52,24
52,30
52,27
253,4
253,36
253,23
403,4
